id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Block Party Anthem,Crate Kings,hip-hop,confident,0.72,95,0.65,0.85,0.08
12,Moonlit Sonata,Clara Voss,classical,peaceful,0.18,68,0.72,0.25,0.97
13,Dirt Road Memories,Hollow Pine,country,nostalgic,0.55,100,0.68,0.61,0.74
14,Velvet Nights,Sable June,r&b,romantic,0.61,88,0.73,0.78,0.30
15,Shatter the Sky,Iron Veil,metal,angry,0.97,168,0.31,0.52,0.04
16,Empty Porch Light,The Wayfarers,folk,melancholic,0.32,74,0.44,0.45,0.91
17,Altitude Rush,Pulse Drift,edm,euphoric,0.95,128,0.82,0.94,0.03
18,Rain on Beale Street,Dusty Harmon,blues,sad,0.44,82,0.36,0.57,0.65
19,Sunday Current,Coral Tide,reggae,uplifting,0.63,85,0.78,0.76,0.42
20,Tender Signal,Mara Soul,soul,tender,0.52,94,0.66,0.68,0.55
